Year,Year ending,Offence Subdivision,Offence Group,Offence Description,CSA Drug Type,Offence Count
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LSD,Other,29
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK MDMA (ECSTASY),Ecstasy,144
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,1534
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK OXYCODONE,Prescription,9
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK PRESCRIBED DRUGS,Prescription,1
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK PSILOCYBIN,Other,2
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK SYNTHETIC CANNABINOID,Cannabis,8
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TESTOSTERONE,Prescription,4
2019,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TETRAHYDROCANNABINOL,Cannabis,9
2019,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,ATT CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,6
2019,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CONSPIRE CULTIVATE CANNABIS,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT COMM QTY-CANNABIS,Not Coded,117
2019,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT LGE COMM QTY-CANNABIS,Not Coded,14
2019,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,987
2019,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULTIVATE NARCOTIC PLANT-NOT CANNABIS,Not Coded,5
2019,March,C20 Cultivate or manufacture drugs,C22 Manufacture drugs,MANUF COMM QTY CONT DRUG-METHAMPHETAMINE,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,ATTEMPT TO POSSESS CONTROLLED PRECURSOR,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSS EQUIPMENT-MANUF. D.O.D. TO TRAFFICK,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSS MORE THAN 1 TYPE PRECURSOR CHEMICAL,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSS PRECURSOR CHEM-MORE THAN PRESCR QTY,Not Coded,9
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,"POSSESS 1,4-BUTANEDIOL",Not Coded,86
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS A CONTROLLED PRECURSOR,Not Coded,5
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS A TABLET PRESS,Not Coded,7
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS BENZYL CHLORIDE,Not Coded,2
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS EPHEDRINE,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS EQUIPMENT FOR TRAFFICKING D.O.D,Not Coded,45
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS FORMALDEHYDE,Not Coded,3
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS GAMMA BUTYROLACTONE,Not Coded,8
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS GAMMA HYDROXYBUTANOIC ACID,Not Coded,62
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS HYDROGEN,Not Coded,2
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS HYPOPHOSPHOROUS ACID,Not Coded,9
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS IODINE,Not Coded,14
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS LITHIUM,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS LYSERGIC ACID,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MATERIAL FOR TRAFFICKING D.O.D,Not Coded,13
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MERCURIC CHLORIDE,Not Coded,2
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS MERCURY,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS METHYLAMINE,Not Coded,11
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS NITROMETHANE,Not Coded,2
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHENYLACETIC ACID,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHENYLACETONITRILE,Not Coded,2
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHOSPHOROUS ACID,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PHOSPHORUS,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS PIPERIDINE,Not Coded,1
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS SODIUM,Not Coded,2
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS SUBSTANCE FOR TRAFFICKING D.O.D,Not Coded,8
2019,March,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,POSSESS SUBSTANCE-MANUF. DOD TO TRAFFICK,Not Coded,2
2019,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE AMPHETAMINE,Amphetamine,7
2019,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE CANNABIS,Cannabis,1
2019,March,C30 Drug use and possession,C31 Drug use,ATT. TO USE DRUG OF DEPEND. (NOT NAMED),Not Recorded,1
2019,March,C30 Drug use and possession,C31 Drug use,USE AMPHETAMINE,Amphetamine,112
2019,March,C30 Drug use and possession,C31 Drug use,USE CANNABIS,Cannabis,333
2019,March,C30 Drug use and possession,C31 Drug use,USE COCAINE,Cocaine,7
2019,March,C30 Drug use and possession,C31 Drug use,USE DRUG OF DEPEND. -HALLUCINOGEN,Other,4
2019,March,C30 Drug use and possession,C31 Drug use,USE DRUG OF DEPEND. -PRESCRIPTION DRUG,Prescription,24
2019,March,C30 Drug use and possession,C31 Drug use,USE ECSTASY,Ecstasy,10
2019,March,C30 Drug use and possession,C31 Drug use,USE GHB,GHB,16
2019,March,C30 Drug use and possession,C31 Drug use,USE HEROIN,Heroin,56
2019,March,C30 Drug use and possession,C31 Drug use,USE KETAMINE,Other,3
2019,March,C30 Drug use and possession,C31 Drug use,USE LSD,Other,2
2019,March,C30 Drug use and possession,C31 Drug use,USE METHYLAMPHETAMINE,Methylamphetamine,262
2019,March,C30 Drug use and possession,C31 Drug use,USE OTHER DRUG OF DEPENDENCE,Not Recorded,36
2019,March,C30 Drug use and possession,C31 Drug use,USE SYNTHETIC CANNABINOID,Cannabis,1
2019,March,C30 Drug use and possession,C31 Drug use,USE TETRAHYDROCANNABINOL,Cannabis,1
2019,March,C30 Drug use and possession,C32 Drug possession,ATT POSSESS DOD - 4-METHYLMETHCATHINONE,Other,2
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS AMPHETAMINE,Amphetamine,4
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS CANNABIS,Cannabis,13
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS COCAINE,Cocaine,2
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEP. -HALLUCINOGEN,Other,1
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEP. -PRESCR. DRUG,Not Recorded,16
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS DRUG OF DEPEND (NOT NAMED),Not Recorded,8
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS ECSTASY,Ecstasy,2
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS LSD,Other,1
2019,March,C30 Drug use and possession,C32 Drug possession,ATT. POSSESS METHYLAMPHETAMINE,Methylamphetamine,8
2019,March,C30 Drug use and possession,C32 Drug possession,"ATTEMPT POSSESS 1,4-BUTANEDIOL (1,4-BD)",GHB,2
2019,March,C30 Drug use and possession,C32 Drug possession,ATTEMPT TO POSSESS A DRUG OF DEPENDENCE,Not Recorded,2
2019,March,C30 Drug use and possession,C32 Drug possession,"POSSESS 1,4-BUTANEDIOL (1,4-BD)",GHB,71
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS 4-HYDROXYBUTANOIC ACID (GHB),GHB,79
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS A CONTROLLED DRUG,Not Recorded,12
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS A DRUG OF DEPENDENCE,Not Recorded,632
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 4 POISON,Prescription,503
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 8 POISON,Not Recorded,43
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS A SCHEDULE 9 POISON,Not Recorded,1
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS ACETIC ANHYDRIDE,Other,1
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS ALPRAZOLAM,Prescription,67
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS AMPHETAMINE,Amphetamine,739
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS ANABOLIC STEROIDS,Other,83
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS BUPRENORPHINE,Prescription,29
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS CANNABIS,Cannabis,8423
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS CANNABIS (NOT TRAFFICKING),Cannabis,29
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS COCAINE,Cocaine,649
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS COMMERCIAL QUANTITY - CANNABIS,Cannabis,7
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS CONTROLLED DRUG - CANNABIS,Cannabis,27
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS CONTROLLED DRUG - MDMA,Ecstasy,22
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS CRACK,Cocaine,1
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS DIAZEPAM,Prescription,150
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS DIMETHYLAMPHETAMINE,Methylamphetamine,9
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPEND. -HALLUCINOGEN,Other,121
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPEND. -PRESCRIPT DRUG,Prescription,3126
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPENDENCE - KETAMINE,Other,147
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,775
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS ECSTASY,Ecstasy,964
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS GHB,GHB,549
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS HEROIN,Heroin,914
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS LSD,Other,109
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS MDMA (ECSTASY),Ecstasy,188
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS METHYLAMPHETAMINE,Methylamphetamine,6448
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS MORPHINE,Prescription,18
2019,March,C30 Drug use and possession,C32 Drug possession,"POSSESS N, N-DIMETHYLTRYPTAMINE",Other,3
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS OXYCODONE,Prescription,43
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS PSEUDOEPHEDRINE,Other,1
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS PSILOCYBIN,Other,6
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS SYNTHETIC CANNABINOID,Cannabis,35
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS SYNTHETIC SUBSTANCE - ETHYLONE,Other,1
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS TESTOSTERONE,Prescription,34
2019,March,C30 Drug use and possession,C32 Drug possession,POSSESS TETRAHYDROCANNABINOL,Cannabis,24
2019,March,C90 Other drug offences,C99 Other drug offences,AID/ABET TO INTRODUCE DRUG OF DEPENDENCE,Not Coded,1
2019,March,C90 Other drug offences,C99 Other drug offences,ATT TO INDUCE PHARM. DISPENSE PRESCRIPT,Not Coded,4
2019,March,C90 Other drug offences,C99 Other drug offences,ATT TO INDUCE PHARM. SUPPLY DRUG OF DEP,Not Coded,2
2019,March,C90 Other drug offences,C99 Other drug offences,CAUSE PHARM DISPENSE DRUG -FALSE REP,Not Coded,1
2019,March,C90 Other drug offences,C99 Other drug offences,FAIL INVESTIGATE DISCREPANCY IN RECORDS,Not Coded,2
2019,March,C90 Other drug offences,C99 Other drug offences,FAIL KEEP RECORDS-SHOW BALANCE S9 POISON,Not Coded,3
2019,March,C90 Other drug offences,C99 Other drug offences,FAIL KEEP S8 POISON RECORD FOR 3 YEARS,Not Coded,1
2019,March,C90 Other drug offences,C99 Other drug offences,FAIL NOTIFY LOSS/THEFT OF POISON,Not Coded,9
2019,March,C90 Other drug offences,C99 Other drug offences,FAIL RECORD S8 POISON TRANSACTN DETAILS,Not Coded,6
2019,March,C90 Other drug offences,C99 Other drug offences,FAIL RECORD S9 POISON TRANSACTN DETAILS,Not Coded,1
2019,March,C90 Other drug offences,C99 Other drug offences,FAIL STORE S8/9 POISN IN APPROP FACILITY,Not Coded,3
2019,March,C90 Other drug offences,C99 Other drug offences,KNOWINGLY MAKE FALSE ENTRY RE S8 POISON,Not Coded,2
2019,March,C90 Other drug offences,C99 Other drug offences,PHARM SELL S8 POISON W/O AUTHORISATION,Not Coded,5
2019,March,C90 Other drug offences,C99 Other drug offences,POSS DOC-CONTAIN INSTRCTN FOR CULT D.O.D,Not Coded,3
2019,March,C90 Other drug offences,C99 Other drug offences,POSSESS SUBS/MAT/DOC/EQUP TRAFFICK D.O.D,Not Coded,46
2019,March,C90 Other drug offences,C99 Other drug offences,RETAIL OUTLET DISPLAY>3 HOOKAHS FOR SALE,Not Coded,1
2019,March,C90 Other drug offences,C99 Other drug offences,RETAIL OUTLET DISPLY CANNABIS WATER PIPE,Not Coded,1
2019,March,C90 Other drug offences,C99 Other drug offences,WILFULLY DESTROY SCHED 8/SCHED 9 POISON,Not Coded,4
2018,March,C10 Drug dealing and trafficking,C11 Drug dealing,INTRODUCE DRUG INTO REMAND CENTRE,Not Recorded,4
2018,March,C10 Drug dealing and trafficking,C11 Drug dealing,KNOWINGLY SUPPLY PSYCHOACTIVE SUBSTANCE,Other,1
2018,March,C10 Drug dealing and trafficking,C11 Drug dealing,SELL PSYCHOACTIVE SUBSTANCE,Other,2
2018,March,C10 Drug dealing and trafficking,C11 Drug dealing,SEND NARCOTIC SUBSTANCE IN POST-C'WEALTH,Not Recorded,1
2018,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY DOD TO CHILD - USE BY THAT CHILD,Not Recorded,41
2018,March,C10 Drug dealing and trafficking,C11 Drug dealing,SUPPLY PSYCHOACTIVE SUBSTANCE,Other,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT IMP COM QTY BORDER CONTROLLED DRUG,Not Recorded,11
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS COM QTY BORD CONT DRUG-METHAMPH,Methylamphetamine,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT POSS COMM QTY BORDER CONTROLLED DRUG,Not Recorded,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFF DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,6
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK AMPHETAMINE,Amphetamine,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK CANNABIS,Cannabis,9
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY - CANNABIS,Cannabis,6
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG DEPENDENCE COMM QTY,Not Recorded,4
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK DRUG OF DEPENDENCE TO CHILD,Not Recorded,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK ECSTASY-MDMA/MDA/MDEA/MDA'S,Ecstasy,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK HEROIN,Heroin,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK KETAMINE,Other,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK LARGE COMM QTY - COCAINE,Cocaine,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK LSD,Other,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATT TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,16
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT IMPORT BORDER CONTROLLED DRUG,Not Recorded,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,ATTEMPT TRAFFICK GHB,GHB,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSP TRAF COM QTY SYNTHETIC CANNABINOID,Cannabis,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TO TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TRAF LGE COMM QTY- METHYLAMPHET,Methylamphetamine,4
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TRAFFICK CANNABIS,Cannabis,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,CONSPIRE TRAFFICK OTHER DRUG,Not Recorded,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMP MRK QTY BORDER CONT DRUG-METHAMPHETA,Methylamphetamine,5
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTD DRUG-METHAMPHETAMINE,Methylamphetamine,5
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTROLLED DRUG - CANNABIS,Cannabis,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT BORDER CONTROLLED DRUG - COCAINE,Cocaine,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT COMM QTY BORDER CONTROLLED DRUG,Not Recorded,4
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MARKET QTY BORDER CONTROLLED DRUG,Not Recorded,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,IMPORT MRK QTY BORDER CONT DRUG-COCAINE,Cocaine,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,KNOWINGLY/RECKLESSLY IMPORT TIER 1 GOODS,Not Recorded,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,POSS COMM QTY IMPORTED BORDER CONT DRUG,Not Recorded,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"TRAF COMM QTY 1,4-BUTANEDIOL (1,4-BD)",GHB,12
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK - EPHEDRINE,Other,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,"TRAFFICK 1,4-BUTANEDIOL (1,4-BD)",GHB,48
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ALPRAZOLAM,Prescription,11
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK AMPHETAMINE,Amphetamine,83
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ANABOLIC STEROIDS,Other,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CANNABIS,Cannabis,738
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COCAINE,Cocaine,230
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COM QTY MIX CONTAIN (AB-PINACA),Cannabis,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - AMPHETAMINE,Amphetamine,7
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - CANNABIS,Cannabis,80
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - COCAINE,Cocaine,7
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - ECSTASY,Ecstasy,21
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - GHB,GHB,6
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - HEROIN,Heroin,5
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - PRESCRIBED DRUGS,Prescription,27
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY - PSEUDOEPHEDRINE,Other,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY OF CONTROLLED DRUG,Not Recorded,3
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,65
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY-OTHER HALLUCINOGENIC,Other,5
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK COMM QTY-SYNTHETIC CANNABINOID,Cannabis,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CONTROLLED DRUG - MDMA,Ecstasy,20
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK CONTROLLED DRUG-METHAMPHETAMINE,Methylamphetamine,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DIAZEPAM,Prescription,7
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPEND LARGE COMM QTY,Not Recorded,9
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE,Not Recorded,10
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE (NOT NAMED),Not Recorded,186
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE COMM QTY,Not Recorded,4
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK DRUG OF DEPENDENCE TO A CHILD,Not Recorded,25
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ECSTASY,Ecstasy,8
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK ECSTASY (MDMA/MDA/MDEA/MDA'S),Ecstasy,174
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK GHB,GHB,163
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK HEROIN,Heroin,339
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK KETAMINE,Other,44
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - AMPHETAMINE,Amphetamine,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - COCAINE,Cocaine,6
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - ECSTASY,Ecstasy,7
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - HEROIN,Heroin,5
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY - PRESC DRUGS,Prescription,6
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LARGE COMM QTY-PSEUDOEPHYDRINE,Other,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LGE COMM QTY-METHYLAMPHETAMINE,Methylamphetamine,13
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK LSD,Other,17
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK MARKETABLE QTY CONTROLLED DRUG,Not Recorded,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK MDMA (ECSTASY),Ecstasy,108
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK METHYLAMPHETAMINE,Methylamphetamine,1529
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK OXYCODONE,Prescription,4
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK PRESCRIBED DRUGS,Prescription,2
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK SYNTHETIC CANNABINOID,Cannabis,4
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TESTOSTERONE,Prescription,3
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TETRAHYDRACANNIBANOL,Cannabis,1
2018,March,C10 Drug dealing and trafficking,C12 Drug trafficking,TRAFFICK TETRAHYDROCANNABINOL,Cannabis,5
2018,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,ATT CULT NARC PLANT COMM QTY-CANNABIS,Not Coded,1
2018,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,ATT CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,1
2018,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CONSPIRE TO CULTIVATE CANNABIS- COMM QTY,Not Coded,1
2018,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT COMM QTY-CANNABIS,Not Coded,150
2018,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULT NARC PLANT LGE COMM QTY-CANNABIS,Not Coded,8
2018,March,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,CULTIVATE NARCOTIC PLANT-CANNABIS,Not Coded,776
